Rank,State,Geopolitical zone (derived),Reported new outbreaks,Records,% of 39 outbreaks
1,Plateau,North Central,8,2,20.5
2,Kaduna,North West,5,4,12.8
3,Adamawa,North East,4,1,10.3
4,Kano,North West,4,2,10.3
5,Niger,North Central,3,3,7.7
6,Benue,North Central,2,1,5.1
7,Ekiti,South West,2,1,5.1
8,Kwara,North Central,2,2,5.1
9,Nasarawa,North Central,2,1,5.1
10,Zamfara,North West,2,2,5.1
11,Enugu,South East,1,1,2.6
12,Jigawa,North West,1,1,2.6
13,Katsina,North West,1,1,2.6
14,Ondo,South West,1,1,2.6
15,Osun,South West,1,1,2.6
,Total (15 states),,39,24,100.0
