State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Plateau,,,,,,,,,,,4,4,,,,,8
Kaduna,,,,,,,,,,1,,1,3,,,,5
Adamawa,4,,,,,,,,,,,,,,,,4
Kano,3,,1,,,,,,,,,,,,,,4
Niger,,,,,,,,,,,,1,1,,,1,3
Benue,,,,,,,,,,,,,,,2,,2
Ekiti,,,,,,,,,,,,,,,2,,2
Kwara,,,,,,,,,,,1,,,1,,,2
Nasarawa,2,,,,,,,,,,,,,,,,2
Zamfara,,,,,,,,,,,,,,1,,1,2
Enugu,,,,,,1,,,,,,,,,,,1
Jigawa,,,,,,,,,,,,,,,,1,1
Katsina,,,,,,,,,,1,,,,,,,1
Ondo,,,,,,,,,,,,,,,,1,1
Osun,,,1,,,,,,,,,,,,,,1
Total,9,,2,,,1,,,,2,5,6,4,2,4,4,39
